FICHIER :;e:\comax\07-02-mesure4.eposacq
Date :;07/02/2017
Heure :;08:57:30

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 3000 rpm.
102 mesures avec période de 5.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Consigne de Vitesse;Vitesse Moteur;Courant Moteur;
;ms;;rpm;rpm;mA;
         0;       0,0;;         0;         0;        -1;
         1;       5,0;;         0;         0;         0;
         2;      10,0;;         0;         0;         0;
         3;      15,0;;         0;         0;         0;
         4;      20,0;;         0;         0;         0;
         5;      25,0;;         0;         0;         0;
         6;      30,0;;         0;         0;         0;
         7;      35,0;;         0;         0;         0;
         8;      40,0;;         0;         0;         0;
         9;      45,0;;         0;         0;         0;
        10;      50,0;;       200;         0;         3;
        11;      55,0;;       700;         0;       204;
        12;      60,0;;      1200;         4;       758;
        13;      65,0;;      1700;        11;      1535;
        14;      70,0;;      2200;        19;      2423;
        15;      75,0;;      2700;        30;      3375;
        16;      80,0;;      3000;        48;      4315;
        17;      85,0;;      3000;        83;      5008;
        18;      90,0;;      3000;       134;      5263;
        19;      95,0;;      3000;       195;      5240;
        20;     100,0;;      3000;       264;      5122;
        21;     105,0;;      3000;       336;      4950;
        22;     110,0;;      3000;       409;      4756;
        23;     115,0;;      3000;       481;      4578;
        24;     120,0;;      3000;       552;      4441;
        25;     125,0;;      3000;       618;      4319;
        26;     130,0;;      3000;       679;      4225;
        27;     135,0;;      3000;       735;      4142;
        28;     140,0;;      3000;       788;      4065;
        29;     145,0;;      3000;       840;      3972;
        30;     150,0;;      3000;       892;      3893;
        31;     155,0;;      3000;       943;      3795;
        32;     160,0;;      3000;       992;      3715;
        33;     165,0;;      3000;      1036;      3642;
        34;     170,0;;      3000;      1078;      3573;
        35;     175,0;;      3000;      1118;      3524;
        36;     180,0;;      3000;      1156;      3452;
        37;     185,0;;      3000;      1189;      3426;
        38;     190,0;;      3000;      1219;      3387;
        39;     195,0;;      3000;      1245;      3364;
        40;     200,0;;      3000;      1266;      3349;
        41;     205,0;;      3000;      1282;      3372;
        42;     210,0;;      3000;      1296;      3372;
        43;     215,0;;      3000;      1305;      3402;
        44;     220,0;;      3000;      1311;      3417;
        45;     225,0;;      3000;      1314;      3425;
        46;     230,0;;      3000;      1317;      3459;
        47;     235,0;;      3000;      1318;      3468;
        48;     240,0;;      3000;      1320;      3477;
        49;     245,0;;      3000;      1320;      3472;
        50;     250,0;;      3000;      1322;      3498;
        51;     255,0;;      3000;      1323;      3483;
        52;     260,0;;      3000;      1325;      3480;
        53;     265,0;;      3000;      1328;      3468;
        54;     270,0;;      3000;      1331;      3439;
        55;     275,0;;      3000;      1337;      3441;
        56;     280,0;;      3000;      1341;      3413;
        57;     285,0;;      3000;      1346;      3400;
        58;     290,0;;      3000;      1351;      3389;
        59;     295,0;;      3000;      1353;      3394;
        60;     300,0;;      3000;      1353;      3402;
        61;     305,0;;      3000;      1352;      3432;
        62;     310,0;;      3000;      1349;      3443;
        63;     315,0;;      3000;      1344;      3474;
        64;     320,0;;      3000;      1339;      3502;
        65;     325,0;;      3000;      1334;      3509;
        66;     330,0;;      3000;      1328;      3524;
        67;     335,0;;      3000;      1325;      3529;
        68;     340,0;;      3000;      1323;      3538;
        69;     345,0;;      3000;      1322;      3537;
        70;     350,0;;      3000;      1321;      3526;
        71;     355,0;;      3000;      1323;      3503;
        72;     360,0;;      3000;      1325;      3473;
        73;     365,0;;      3000;      1329;      3469;
        74;     370,0;;      3000;      1333;      3442;
        75;     375,0;;      3000;      1338;      3421;
        76;     380,0;;      3000;      1343;      3411;
        77;     385,0;;      3000;      1348;      3399;
        78;     390,0;;      3000;      1353;      3380;
        79;     395,0;;      3000;      1357;      3385;
        80;     400,0;;      3000;      1360;      3379;
        81;     405,0;;      3000;      1361;      3381;
        82;     410,0;;      3000;      1361;      3397;
        83;     415,0;;      3000;      1361;      3399;
        84;     420,0;;      3000;      1361;      3422;
        85;     425,0;;      3000;      1359;      3405;
        86;     430,0;;      3000;      1359;      3419;
        87;     435,0;;      3000;      1357;      3436;
        88;     440,0;;      3000;      1356;      3430;
        89;     445,0;;      3000;      1355;      3427;
        90;     450,0;;      3000;      1355;      3426;
        91;     455,0;;      3000;      1357;      3428;
        92;     460,0;;      3000;      1359;      3419;
        93;     465,0;;      3000;      1363;      3399;
        94;     470,0;;      3000;      1365;      3385;
        95;     475,0;;      3000;      1367;      3382;
        96;     480,0;;      3000;      1368;      3375;
        97;     485,0;;      3000;      1368;      3384;
        98;     490,0;;      3000;      1368;      3395;
        99;     495,0;;      3000;      1367;      3397;
       100;     500,0;;      3000;      1365;      3409;
       101;     505,0;;      3000;      1362;      3424;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;2420;8340;3230;0;0
Vitesse :;1000;0;;0;0
Courant :;200;75
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

