FICHIER :;e:\comax\mesure_asserv_v_3150-90-m0.eposacq
Date :;11/01/2017
Heure :;18:34:59

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 3000 rpm.
128 mesures avec période de 5.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Consigne de Vitesse;Vitesse Moteur;
;ms;;rpm;rpm;
         0;       0,0;;         0;         0;
         1;       5,0;;         0;         0;
         2;      10,0;;         0;         0;
         3;      15,0;;         0;         0;
         4;      20,0;;         0;         0;
         5;      25,0;;         0;         0;
         6;      30,0;;         0;         0;
         7;      35,0;;         0;         0;
         8;      40,0;;         0;         0;
         9;      45,0;;         0;         0;
        10;      50,0;;         0;         0;
        11;      55,0;;         0;         0;
        12;      60,0;;       100;         0;
        13;      65,0;;       600;        -9;
        14;      70,0;;      1100;       -14;
        15;      75,0;;      1600;         3;
        16;      80,0;;      2100;        57;
        17;      85,0;;      2600;       152;
        18;      90,0;;      3000;       284;
        19;      95,0;;      3000;       439;
        20;     100,0;;      3000;       617;
        21;     105,0;;      3000;       813;
        22;     110,0;;      3000;      1025;
        23;     115,0;;      3000;      1246;
        24;     120,0;;      3000;      1471;
        25;     125,0;;      3000;      1682;
        26;     130,0;;      3000;      1868;
        27;     135,0;;      3000;      2027;
        28;     140,0;;      3000;      2160;
        29;     145,0;;      3000;      2267;
        30;     150,0;;      3000;      2354;
        31;     155,0;;      3000;      2429;
        32;     160,0;;      3000;      2501;
        33;     165,0;;      3000;      2565;
        34;     170,0;;      3000;      2628;
        35;     175,0;;      3000;      2686;
        36;     180,0;;      3000;      2741;
        37;     185,0;;      3000;      2789;
        38;     190,0;;      3000;      2832;
        39;     195,0;;      3000;      2871;
        40;     200,0;;      3000;      2906;
        41;     205,0;;      3000;      2937;
        42;     210,0;;      3000;      2961;
        43;     215,0;;      3000;      2983;
        44;     220,0;;      3000;      3002;
        45;     225,0;;      3000;      3017;
        46;     230,0;;      3000;      3028;
        47;     235,0;;      3000;      3037;
        48;     240,0;;      3000;      3043;
        49;     245,0;;      3000;      3044;
        50;     250,0;;      3000;      3043;
        51;     255,0;;      3000;      3041;
        52;     260,0;;      3000;      3037;
        53;     265,0;;      3000;      3030;
        54;     270,0;;      3000;      3021;
        55;     275,0;;      3000;      3013;
        56;     280,0;;      3000;      3005;
        57;     285,0;;      3000;      2995;
        58;     290,0;;      3000;      2984;
        59;     295,0;;      3000;      2975;
        60;     300,0;;      3000;      2969;
        61;     305,0;;      3000;      2963;
        62;     310,0;;      3000;      2959;
        63;     315,0;;      3000;      2959;
        64;     320,0;;      3000;      2960;
        65;     325,0;;      3000;      2962;
        66;     330,0;;      3000;      2964;
        67;     335,0;;      3000;      2970;
        68;     340,0;;      3000;      2978;
        69;     345,0;;      3000;      2985;
        70;     350,0;;      3000;      2990;
        71;     355,0;;      3000;      2994;
        72;     360,0;;      3000;      3000;
        73;     365,0;;      3000;      3004;
        74;     370,0;;      3000;      3008;
        75;     375,0;;      3000;      3011;
        76;     380,0;;      3000;      3014;
        77;     385,0;;      3000;      3017;
        78;     390,0;;      3000;      3018;
        79;     395,0;;      3000;      3018;
        80;     400,0;;      3000;      3016;
        81;     405,0;;      3000;      3010;
        82;     410,0;;      3000;      3004;
        83;     415,0;;      3000;      2997;
        84;     420,0;;      3000;      2991;
        85;     425,0;;      3000;      2982;
        86;     430,0;;      3000;      2974;
        87;     435,0;;      3000;      2969;
        88;     440,0;;      3000;      2965;
        89;     445,0;;      3000;      2962;
        90;     450,0;;      3000;      2958;
        91;     455,0;;      3000;      2955;
        92;     460,0;;      3000;      2954;
        93;     465,0;;      3000;      2952;
        94;     470,0;;      3000;      2951;
        95;     475,0;;      3000;      2952;
        96;     480,0;;      3000;      2954;
        97;     485,0;;      3000;      2958;
        98;     490,0;;      3000;      2961;
        99;     495,0;;      3000;      2965;
       100;     500,0;;      3000;      2970;
       101;     505,0;;      3000;      2975;
       102;     510,0;;      3000;      2978;
       103;     515,0;;      3000;      2982;
       104;     520,0;;      3000;      2986;
       105;     525,0;;      3000;      2990;
       106;     530,0;;      3000;      2993;
       107;     535,0;;      3000;      2997;
       108;     540,0;;      3000;      3000;
       109;     545,0;;      3000;      3000;
       110;     550,0;;      3000;      2998;
       111;     555,0;;      3000;      2997;
       112;     560,0;;      3000;      2996;
       113;     565,0;;      3000;      2993;
       114;     570,0;;      3000;      2991;
       115;     575,0;;      3000;      2989;
       116;     580,0;;      3000;      2989;
       117;     585,0;;      3000;      2987;
       118;     590,0;;      3000;      2986;
       119;     595,0;;      3000;      2987;
       120;     600,0;;      3000;      2990;
       121;     605,0;;      3000;      2991;
       122;     610,0;;      3000;      2993;
       123;     615,0;;      3000;      2995;
       124;     620,0;;      3000;      2999;
       125;     625,0;;      3000;      3002;
       126;     630,0;;      3000;      3002;
       127;     635,0;;      3000;      3004;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;1000;1000;1000;0;0
Vitesse :;3150;90;;0;0
Courant :;1000;1000
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

